week,totalA,totalB,percentPositiveA,percentPositiveB,totalTests,percentPositive
2021 - 40/52,37,28,0.07,0.05,47126,0.13
2021 - 41/52,23,29,0.05,0.06,43982,0.11
2021 - 42/52,23,33,0.04,0.07,46377,0.12
2021 - 43/52,97,32,0.19,0.06,49451,0.26
2021 - 44/52,120,35,0.22,0.06,54049,0.28
2021 - 45/52,306,36,0.51,0.06,59954,0.57
2021 - 46/52,675,45,0.97,0.06,69214,1.04
2021 - 47/52,1212,41,1.78,0.06,67974,1.84
2021 - 48/52,2263,66,2.8,0.08,80728,2.88
2021 - 49/52,3432,45,3.74,0.04,91717,3.79
2021 - 50/52,5460,48,5.63,0.04,96859,5.68
2021 - 51/52,4337,56,6.13,0.07,70660,6.21
